KO,Definition,Gene IDs,DRR127476_bin.16,DRR127514_bin.3,DRR127619_bin.11,DRR127718_bin.11,DRR127720_bin.6,DRR127752_bin.18_sub,DRR127755_bin.21,MH_sensitive_DRR127478_SemiBin_56,MH_sensitive_DRR127532_SemiBin_33,MH_sensitive_DRR127537_SemiBin_56,MH_sensitive_DRR127557_SemiBin_47,MH_sensitive_DRR127567_SemiBin_19,MH_sensitive_DRR127647_SemiBin_28,MH_sensitive_DRR127692_SemiBin_11,MH_sensitive_DRR127708_SemiBin_52,MH_sensitive_DRR127721_SemiBin_53,MH_sensitive_DRR127736_SemiBin_32,MH_sensitive_DRR127751_SemiBin_5,MH_sensitive_DRR171465_SemiBin_39
K05375,MbtH protein,gnl|Prokka|AKEAHCKB_02469;gnl|Prokka|APDOGEMG_02783;gnl|Prokka|BNGDJCLN_02871;gnl|Prokka|COAKLHLB_01607;gnl|Prokka|HCDLLMMA_01290;gnl|Prokka|HIPMDEKK_00364;gnl|Prokka|IAHBEFHN_00336;gnl|Prokka|ICHPHMKM_03000;gnl|Prokka|JCIDEFIG_01379;gnl|Prokka|JDDPIIHO_01375;gnl|Prokka|KAGGKOGE_02633;gnl|Prokka|KIDIHNBK_02913;gnl|Prokka|LGNBBEFE_03696;gnl|Prokka|LKCJGGKA_03814;gnl|Prokka|MKNIKEAA_01056;gnl|Prokka|NGKABENH_01821;gnl|Prokka|NKEMDPIE_00983;gnl|Prokka|PJBPACPC_01177;gnl|Prokka|PLJPCPFJ_00531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K02028,polar amino acid transport system ATP-binding protein [EC:7.4.2.1],gnl|Prokka|AKEAHCKB_02501;gnl|Prokka|AKEAHCKB_03037;gnl|Prokka|APDOGEMG_01284;gnl|Prokka|APDOGEMG_03421;gnl|Prokka|BNGDJCLN_02275;gnl|Prokka|BNGDJCLN_03932;gnl|Prokka|COAKLHLB_00447;gnl|Prokka|COAKLHLB_02607;gnl|Prokka|HCDLLMMA_01526;gnl|Prokka|HCDLLMMA_02635;gnl|Prokka|HIPMDEKK_01124;gnl|Prokka|IAHBEFHN_01031;gnl|Prokka|IAHBEFHN_03098;gnl|Prokka|ICHPHMKM_02786;gnl|Prokka|ICHPHMKM_03376;gnl|Prokka|JCIDEFIG_01771;gnl|Prokka|JCIDEFIG_02616;gnl|Prokka|JDDPIIHO_00252;gnl|Prokka|JDDPIIHO_00684;gnl|Prokka|KAGGKOGE_01058;gnl|Prokka|KAGGKOGE_03968;gnl|Prokka|KIDIHNBK_01239;gnl|Prokka|KIDIHNBK_03135;gnl|Prokka|LGNBBEFE_02202;gnl|Prokka|LGNBBEFE_02854;gnl|Prokka|LKCJGGKA_01723;gnl|Prokka|LKCJGGKA_02331;gnl|Prokka|MKNIKEAA_02189;gnl|Prokka|MKNIKEAA_03446;gnl|Prokka|NGKABENH_01616;gnl|Prokka|NGKABENH_03285;gnl|Prokka|NKEMDPIE_01933;gnl|Prokka|NKEMDPIE_02588;gnl|Prokka|PJBPACPC_00502;gnl|Prokka|PJBPACPC_04279;gnl|Prokka|PLJPCPFJ_02954;gnl|Prokka|PLJPCPFJ_03572,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
K03478,chitin disaccharide deacetylase [EC:3.5.1.105],gnl|Prokka|AKEAHCKB_02698;gnl|Prokka|APDOGEMG_01053;gnl|Prokka|BNGDJCLN_04116;gnl|Prokka|COAKLHLB_03384;gnl|Prokka|HCDLLMMA_03888;gnl|Prokka|HIPMDEKK_03425;gnl|Prokka|HIPMDEKK_03450;gnl|Prokka|IAHBEFHN_01076;gnl|Prokka|ICHPHMKM_00772;gnl|Prokka|JCIDEFIG_01090;gnl|Prokka|JDDPIIHO_03237;gnl|Prokka|KAGGKOGE_03793;gnl|Prokka|KIDIHNBK_00922;gnl|Prokka|LGNBBEFE_04022;gnl|Prokka|LKCJGGKA_01117;gnl|Prokka|MKNIKEAA_02362;gnl|Prokka|NGKABENH_03063;gnl|Prokka|NKEMDPIE_04173;gnl|Prokka|PJBPACPC_00678;gnl|Prokka|PLJPCPFJ_02360,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
K03046,DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6],gnl|Prokka|AKEAHCKB_02730;gnl|Prokka|APDOGEMG_01207;gnl|Prokka|BNGDJCLN_00080;gnl|Prokka|COAKLHLB_00970;gnl|Prokka|HCDLLMMA_03451;gnl|Prokka|HIPMDEKK_03067;gnl|Prokka|ICHPHMKM_01017;gnl|Prokka|JCIDEFIG_03317;gnl|Prokka|JDDPIIHO_00105;gnl|Prokka|KAGGKOGE_01869;gnl|Prokka|KIDIHNBK_02863;gnl|Prokka|LGNBBEFE_00127;gnl|Prokka|LKCJGGKA_01121;gnl|Prokka|MKNIKEAA_00215;gnl|Prokka|NGKABENH_00152;gnl|Prokka|NKEMDPIE_00763;gnl|Prokka|PJBPACPC_03527;gnl|Prokka|PLJPCPFJ_02757,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
K07014,uncharacterized protein,gnl|Prokka|AKEAHCKB_02859;gnl|Prokka|APDOGEMG_03203;gnl|Prokka|BNGDJCLN_03600;gnl|Prokka|COAKLHLB_03171;gnl|Prokka|HCDLLMMA_00550;gnl|Prokka|HIPMDEKK_00025;gnl|Prokka|IAHBEFHN_01906;gnl|Prokka|ICHPHMKM_01331;gnl|Prokka|JCIDEFIG_04096;gnl|Prokka|JDDPIIHO_01123;gnl|Prokka|KAGGKOGE_01553;gnl|Prokka|KIDIHNBK_04338;gnl|Prokka|LGNBBEFE_02982;gnl|Prokka|LKCJGGKA_01063;gnl|Prokka|MKNIKEAA_01897;gnl|Prokka|NGKABENH_03772;gnl|Prokka|NKEMDPIE_02666;gnl|Prokka|PJBPACPC_01920;gnl|Prokka|PLJPCPFJ_04539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K01847,methylmalonyl-CoA mutase [EC:5.4.99.2],gnl|Prokka|AKEAHCKB_02924;gnl|Prokka|APDOGEMG_03499;gnl|Prokka|BNGDJCLN_00782;gnl|Prokka|COAKLHLB_00485;gnl|Prokka|HCDLLMMA_03696;gnl|Prokka|HIPMDEKK_02036;gnl|Prokka|IAHBEFHN_03259;gnl|Prokka|ICHPHMKM_02483;gnl|Prokka|JCIDEFIG_01346;gnl|Prokka|JDDPIIHO_00339;gnl|Prokka|KAGGKOGE_00369;gnl|Prokka|KIDIHNBK_01555;gnl|Prokka|LGNBBEFE_03954;gnl|Prokka|LGNBBEFE_03955;gnl|Prokka|LKCJGGKA_03663;gnl|Prokka|MKNIKEAA_03928;gnl|Prokka|NGKABENH_04241;gnl|Prokka|NKEMDPIE_01779;gnl|Prokka|PJBPACPC_02660;gnl|Prokka|PLJPCPFJ_04174,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K09888,cell division protein ZapA,gnl|Prokka|AKEAHCKB_02930;gnl|Prokka|APDOGEMG_01676;gnl|Prokka|BNGDJCLN_00776;gnl|Prokka|COAKLHLB_00480;gnl|Prokka|HCDLLMMA_01874;gnl|Prokka|HIPMDEKK_01231;gnl|Prokka|IAHBEFHN_00229;gnl|Prokka|ICHPHMKM_02489;gnl|Prokka|JDDPIIHO_01546;gnl|Prokka|KAGGKOGE_00363;gnl|Prokka|KIDIHNBK_01561;gnl|Prokka|LGNBBEFE_03949;gnl|Prokka|LKCJGGKA_01003;gnl|Prokka|MKNIKEAA_03934;gnl|Prokka|NGKABENH_04247;gnl|Prokka|NKEMDPIE_01785;gnl|Prokka|PJBPACPC_02666;gnl|Prokka|PLJPCPFJ_04164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
K26745,MFS transporter; AAHS family; multidrug transporter,gnl|Prokka|AKEAHCKB_00691;gnl|Prokka|AKEAHCKB_03754;gnl|Prokka|APDOGEMG_01010;gnl|Prokka|APDOGEMG_01011;gnl|Prokka|BNGDJCLN_04160;gnl|Prokka|BNGDJCLN_04161;gnl|Prokka|COAKLHLB_03427;gnl|Prokka|COAKLHLB_03428;gnl|Prokka|HCDLLMMA_03930;gnl|Prokka|HCDLLMMA_03931;gnl|Prokka|HIPMDEKK_01218;gnl|Prokka|HIPMDEKK_01219;gnl|Prokka|IAHBEFHN_03498;gnl|Prokka|IAHBEFHN_03499;gnl|Prokka|ICHPHMKM_03035;gnl|Prokka|ICHPHMKM_03036;gnl|Prokka|JCIDEFIG_02335;gnl|Prokka|JCIDEFIG_02336;gnl|Prokka|JDDPIIHO_03642;gnl|Prokka|JDDPIIHO_03643;gnl|Prokka|KAGGKOGE_03752;gnl|Prokka|KAGGKOGE_03753;gnl|Prokka|KIDIHNBK_00962;gnl|Prokka|KIDIHNBK_00963;gnl|Prokka|LGNBBEFE_00166;gnl|Prokka|LGNBBEFE_00167;gnl|Prokka|LKCJGGKA_02443;gnl|Prokka|LKCJGGKA_02444;gnl|Prokka|MKNIKEAA_02403;gnl|Prokka|MKNIKEAA_02404;gnl|Prokka|NGKABENH_03022;gnl|Prokka|NGKABENH_03023;gnl|Prokka|NKEMDPIE_02209;gnl|Prokka|NKEMDPIE_02210;gnl|Prokka|PJBPACPC_00719;gnl|Prokka|PJBPACPC_00720;gnl|Prokka|PLJPCPFJ_02407;gnl|Prokka|PLJPCPFJ_02408,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
K16044,scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.371],gnl|Prokka|AKEAHCKB_02759;gnl|Prokka|AKEAHCKB_03513;gnl|Prokka|APDOGEMG_00196;gnl|Prokka|APDOGEMG_04164;gnl|Prokka|BNGDJCLN_02010;gnl|Prokka|BNGDJCLN_04229;gnl|Prokka|COAKLHLB_00067;gnl|Prokka|COAKLHLB_03495;gnl|Prokka|HCDLLMMA_03105;gnl|Prokka|HCDLLMMA_03998;gnl|Prokka|HIPMDEKK_03185;gnl|Prokka|HIPMDEKK_03727;gnl|Prokka|IAHBEFHN_01626;gnl|Prokka|IAHBEFHN_03567;gnl|Prokka|ICHPHMKM_01438;gnl|Prokka|ICHPHMKM_01869;gnl|Prokka|JCIDEFIG_01633;gnl|Prokka|JCIDEFIG_03201;gnl|Prokka|JDDPIIHO_02829;gnl|Prokka|JDDPIIHO_02869;gnl|Prokka|KAGGKOGE_03596;gnl|Prokka|KAGGKOGE_03686;gnl|Prokka|KIDIHNBK_01029;gnl|Prokka|KIDIHNBK_03869;gnl|Prokka|LGNBBEFE_00355;gnl|Prokka|LGNBBEFE_02107;gnl|Prokka|LKCJGGKA_00572;gnl|Prokka|LKCJGGKA_00880;gnl|Prokka|MKNIKEAA_00077;gnl|Prokka|MKNIKEAA_02470;gnl|Prokka|NGKABENH_02956;gnl|Prokka|NGKABENH_03597;gnl|Prokka|NKEMDPIE_01173;gnl|Prokka|NKEMDPIE_02275;gnl|Prokka|PJBPACPC_00786;gnl|Prokka|PJBPACPC_04127;gnl|Prokka|PLJPCPFJ_02477;gnl|Prokka|PLJPCPFJ_02636,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
K07091,lipopolysaccharide export system permease protein,gnl|Prokka|AKEAHCKB_00940;gnl|Prokka|APDOGEMG_02608;gnl|Prokka|APDOGEMG_04485;gnl|Prokka|BNGDJCLN_00864;gnl|Prokka|BNGDJCLN_01633;gnl|Prokka|COAKLHLB_02811;gnl|Prokka|HCDLLMMA_04327;gnl|Prokka|HCDLLMMA_04382;gnl|Prokka|IAHBEFHN_00308;gnl|Prokka|IAHBEFHN_02091;gnl|Prokka|ICHPHMKM_01001;gnl|Prokka|ICHPHMKM_02217;gnl|Prokka|JCIDEFIG_00109;gnl|Prokka|JCIDEFIG_03010;gnl|Prokka|JDDPIIHO_01412;gnl|Prokka|JDDPIIHO_01822;gnl|Prokka|KAGGKOGE_00443;gnl|Prokka|KAGGKOGE_00779;gnl|Prokka|KIDIHNBK_00223;gnl|Prokka|KIDIHNBK_03647;gnl|Prokka|LGNBBEFE_01111;gnl|Prokka|LGNBBEFE_01592;gnl|Prokka|LKCJGGKA_01990;gnl|Prokka|MKNIKEAA_00389;gnl|Prokka|MKNIKEAA_03064;gnl|Prokka|NGKABENH_01872;gnl|Prokka|NGKABENH_04147;gnl|Prokka|NKEMDPIE_02724;gnl|Prokka|NKEMDPIE_03062;gnl|Prokka|PJBPACPC_02566;gnl|Prokka|PJBPACPC_03237;gnl|Prokka|PLJPCPFJ_00019;gnl|Prokka|PLJPCPFJ_01009,2,1,2,2,2,2,1,2,2,2,1,2,2,0,2,2,2,2,2
K04564,superoxide dismutase; Fe-Mn family [EC:1.15.1.1],gnl|Prokka|AKEAHCKB_01229;gnl|Prokka|AKEAHCKB_01951;gnl|Prokka|APDOGEMG_00373;gnl|Prokka|APDOGEMG_04197;gnl|Prokka|BNGDJCLN_02549;gnl|Prokka|BNGDJCLN_04196;gnl|Prokka|COAKLHLB_01758;gnl|Prokka|COAKLHLB_03462;gnl|Prokka|HCDLLMMA_00872;gnl|Prokka|HCDLLMMA_03965;gnl|Prokka|HIPMDEKK_02657;gnl|Prokka|HIPMDEKK_03403;gnl|Prokka|IAHBEFHN_01785;gnl|Prokka|IAHBEFHN_03534;gnl|Prokka|ICHPHMKM_03139;gnl|Prokka|ICHPHMKM_03441;gnl|Prokka|JCIDEFIG_01600;gnl|Prokka|JCIDEFIG_02893;gnl|Prokka|JDDPIIHO_02096;gnl|Prokka|JDDPIIHO_03305;gnl|Prokka|KAGGKOGE_02191;gnl|Prokka|KAGGKOGE_03717;gnl|Prokka|KIDIHNBK_00998;gnl|Prokka|KIDIHNBK_02779;gnl|Prokka|LGNBBEFE_01849;gnl|Prokka|LGNBBEFE_02580;gnl|Prokka|LKCJGGKA_02408;gnl|Prokka|LKCJGGKA_03098;gnl|Prokka|MKNIKEAA_00502;gnl|Prokka|MKNIKEAA_02439;gnl|Prokka|NGKABENH_02987;gnl|Prokka|NGKABENH_04581;gnl|Prokka|NKEMDPIE_02244;gnl|Prokka|NKEMDPIE_03190;gnl|Prokka|PJBPACPC_00755;gnl|Prokka|PJBPACPC_03659;gnl|Prokka|PLJPCPFJ_00341;gnl|Prokka|PLJPCPFJ_02443,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
K03550,holliday junction DNA helicase RuvA [EC:5.6.2.4],gnl|Prokka|AKEAHCKB_04101;gnl|Prokka|APDOGEMG_01337;gnl|Prokka|BNGDJCLN_03985;gnl|Prokka|COAKLHLB_01431;gnl|Prokka|HCDLLMMA_03759;gnl|Prokka|HIPMDEKK_00442;gnl|Prokka|IAHBEFHN_03046;gnl|Prokka|ICHPHMKM_03323;gnl|Prokka|JCIDEFIG_01982;gnl|Prokka|JDDPIIHO_03370;gnl|Prokka|KAGGKOGE_03914;gnl|Prokka|KIDIHNBK_01128;gnl|Prokka|LGNBBEFE_00332;gnl|Prokka|LKCJGGKA_02279;gnl|Prokka|MKNIKEAA_02241;gnl|Prokka|NGKABENH_03184;gnl|Prokka|NKEMDPIE_03383;gnl|Prokka|PJBPACPC_00554;gnl|Prokka|PLJPCPFJ_03520,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K15738,ABC transport system ATP-binding/permease protein,gnl|Prokka|AKEAHCKB_00558;gnl|Prokka|APDOGEMG_00490;gnl|Prokka|BNGDJCLN_02418;gnl|Prokka|COAKLHLB_02403;gnl|Prokka|HCDLLMMA_01715;gnl|Prokka|HIPMDEKK_00881;gnl|Prokka|IAHBEFHN_03400;gnl|Prokka|ICHPHMKM_02000;gnl|Prokka|JCIDEFIG_01031;gnl|Prokka|JDDPIIHO_04154;gnl|Prokka|KAGGKOGE_00888;gnl|Prokka|KIDIHNBK_01911;gnl|Prokka|LGNBBEFE_01994;gnl|Prokka|LKCJGGKA_03941;gnl|Prokka|MKNIKEAA_03270;gnl|Prokka|NGKABENH_01422;gnl|Prokka|NKEMDPIE_03645;gnl|Prokka|PJBPACPC_00977;gnl|Prokka|PLJPCPFJ_01784,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K07283,putative salt-induced outer membrane protein,gnl|Prokka|AKEAHCKB_02706;gnl|Prokka|APDOGEMG_01042;gnl|Prokka|BNGDJCLN_04128;gnl|Prokka|COAKLHLB_03395;gnl|Prokka|HCDLLMMA_03899;gnl|Prokka|HIPMDEKK_03436;gnl|Prokka|IAHBEFHN_01066;gnl|Prokka|ICHPHMKM_01041;gnl|Prokka|JCIDEFIG_00186;gnl|Prokka|JDDPIIHO_04066;gnl|Prokka|KAGGKOGE_03783;gnl|Prokka|KIDIHNBK_00932;gnl|Prokka|LGNBBEFE_04011;gnl|Prokka|LKCJGGKA_03354;gnl|Prokka|MKNIKEAA_02372;gnl|Prokka|NGKABENH_03053;gnl|Prokka|NKEMDPIE_04163;gnl|Prokka|PJBPACPC_00688;gnl|Prokka|PLJPCPFJ_02371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K11474,GntR family transcriptional regulator; glc operon transcriptional activator,gnl|Prokka|AKEAHCKB_03868;gnl|Prokka|APDOGEMG_00817;gnl|Prokka|BNGDJCLN_00857;gnl|Prokka|HCDLLMMA_04375;gnl|Prokka|HIPMDEKK_00280;gnl|Prokka|IAHBEFHN_00301;gnl|Prokka|ICHPHMKM_01010;gnl|Prokka|JCIDEFIG_03017;gnl|Prokka|JDDPIIHO_00820;gnl|Prokka|KAGGKOGE_00436;gnl|Prokka|KIDIHNBK_00216;gnl|Prokka|LGNBBEFE_04228;gnl|Prokka|MKNIKEAA_00396;gnl|Prokka|NGKABENH_04154;gnl|Prokka|NKEMDPIE_03054;gnl|Prokka|PJBPACPC_02573;gnl|Prokka|PLJPCPFJ_01002,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
K03150,2-iminoacetate synthase [EC:4.1.99.19],gnl|Prokka|AKEAHCKB_02728;gnl|Prokka|APDOGEMG_01205;gnl|Prokka|BNGDJCLN_00079;gnl|Prokka|COAKLHLB_00972;gnl|Prokka|HCDLLMMA_03450;gnl|Prokka|HIPMDEKK_03065;gnl|Prokka|ICHPHMKM_01019;gnl|Prokka|JCIDEFIG_03315;gnl|Prokka|JDDPIIHO_00104;gnl|Prokka|KAGGKOGE_01871;gnl|Prokka|KIDIHNBK_02864;gnl|Prokka|LGNBBEFE_00125;gnl|Prokka|LKCJGGKA_01123;gnl|Prokka|MKNIKEAA_00216;gnl|Prokka|NGKABENH_00153;gnl|Prokka|NKEMDPIE_00764;gnl|Prokka|PJBPACPC_03528;gnl|Prokka|PLJPCPFJ_02760,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
K17948,N-acetylneuraminate epimerase [EC:5.1.3.24],gnl|Prokka|AKEAHCKB_01423;gnl|Prokka|APDOGEMG_01368;gnl|Prokka|BNGDJCLN_01550;gnl|Prokka|HCDLLMMA_03704;gnl|Prokka|HIPMDEKK_01430;gnl|Prokka|JCIDEFIG_03714;gnl|Prokka|JDDPIIHO_01592;gnl|Prokka|KAGGKOGE_00765;gnl|Prokka|KIDIHNBK_02205;gnl|Prokka|LGNBBEFE_00760;gnl|Prokka|LKCJGGKA_00457;gnl|Prokka|LKCJGGKA_02864;gnl|Prokka|MKNIKEAA_03032;gnl|Prokka|NGKABENH_01899;gnl|Prokka|NKEMDPIE_03246;gnl|Prokka|PJBPACPC_03835;gnl|Prokka|PLJPCPFJ_00569,1,1,1,1,1,1,0,1,1,1,2,0,0,1,1,1,1,1,1
K01710,dTDP-glucose 4;6-dehydratase [EC:4.2.1.46],gnl|Prokka|AKEAHCKB_01085;gnl|Prokka|APDOGEMG_02056;gnl|Prokka|APDOGEMG_02092;gnl|Prokka|BNGDJCLN_03262;gnl|Prokka|BNGDJCLN_03829;gnl|Prokka|COAKLHLB_03339;gnl|Prokka|HCDLLMMA_03238;gnl|Prokka|HIPMDEKK_02481;gnl|Prokka|IAHBEFHN_01653;gnl|Prokka|ICHPHMKM_01251;gnl|Prokka|JCIDEFIG_00412;gnl|Prokka|JCIDEFIG_01758;gnl|Prokka|JDDPIIHO_01918;gnl|Prokka|JDDPIIHO_02917;gnl|Prokka|KAGGKOGE_00086;gnl|Prokka|KIDIHNBK_02634;gnl|Prokka|KIDIHNBK_04196;gnl|Prokka|LGNBBEFE_01430;gnl|Prokka|LGNBBEFE_03450;gnl|Prokka|LKCJGGKA_03645;gnl|Prokka|MKNIKEAA_03838;gnl|Prokka|NGKABENH_03428;gnl|Prokka|NGKABENH_03919;gnl|Prokka|NKEMDPIE_00494;gnl|Prokka|NKEMDPIE_00691;gnl|Prokka|PJBPACPC_00029;gnl|Prokka|PLJPCPFJ_02175,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2
K02400,flagellar biosynthesis protein FlhA,gnl|Prokka|AKEAHCKB_01652;gnl|Prokka|AKEAHCKB_04119;gnl|Prokka|APDOGEMG_00012;gnl|Prokka|APDOGEMG_01319;gnl|Prokka|BNGDJCLN_03184;gnl|Prokka|BNGDJCLN_03967;gnl|Prokka|COAKLHLB_01449;gnl|Prokka|COAKLHLB_02903;gnl|Prokka|HCDLLMMA_01141;gnl|Prokka|HCDLLMMA_03742;gnl|Prokka|HIPMDEKK_00424;gnl|Prokka|HIPMDEKK_01514;gnl|Prokka|IAHBEFHN_03063;gnl|Prokka|ICHPHMKM_03341;gnl|Prokka|JCIDEFIG_01999;gnl|Prokka|JCIDEFIG_03519;gnl|Prokka|JDDPIIHO_01994;gnl|Prokka|JDDPIIHO_03201;gnl|Prokka|KAGGKOGE_00834;gnl|Prokka|KAGGKOGE_03932;gnl|Prokka|KIDIHNBK_01145;gnl|Prokka|KIDIHNBK_02139;gnl|Prokka|LGNBBEFE_02167;gnl|Prokka|LGNBBEFE_04059;gnl|Prokka|LKCJGGKA_02296;gnl|Prokka|LKCJGGKA_03363;gnl|Prokka|MKNIKEAA_02224;gnl|Prokka|MKNIKEAA_04398;gnl|Prokka|NGKABENH_00518;gnl|Prokka|NGKABENH_03201;gnl|Prokka|NKEMDPIE_02423;gnl|Prokka|NKEMDPIE_02528;gnl|Prokka|PJBPACPC_00425;gnl|Prokka|PJBPACPC_00537;gnl|Prokka|PLJPCPFJ_03504;gnl|Prokka|PLJPCPFJ_03607,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
K03641,TolB protein,gnl|Prokka|AKEAHCKB_02595;gnl|Prokka|APDOGEMG_03455;gnl|Prokka|BNGDJCLN_02118;gnl|Prokka|COAKLHLB_01288;gnl|Prokka|HCDLLMMA_01456;gnl|Prokka|HIPMDEKK_01764;gnl|Prokka|IAHBEFHN_02618;gnl|Prokka|ICHPHMKM_01549;gnl|Prokka|JCIDEFIG_04314;gnl|Prokka|JDDPIIHO_01967;gnl|Prokka|KAGGKOGE_02944;gnl|Prokka|KIDIHNBK_03066;gnl|Prokka|LKCJGGKA_01336;gnl|Prokka|MKNIKEAA_00926;gnl|Prokka|NGKABENH_01684;gnl|Prokka|NKEMDPIE_03012;gnl|Prokka|PJBPACPC_01314;gnl|Prokka|PLJPCPFJ_02884,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K06143,inner membrane protein,gnl|Prokka|AKEAHCKB_02453;gnl|Prokka|APDOGEMG_01464;gnl|Prokka|BNGDJCLN_01449;gnl|Prokka|COAKLHLB_00333;gnl|Prokka|HIPMDEKK_02944;gnl|Prokka|IAHBEFHN_03386;gnl|Prokka|ICHPHMKM_02613;gnl|Prokka|JCIDEFIG_00224;gnl|Prokka|JDDPIIHO_02402;gnl|Prokka|KAGGKOGE_00680;gnl|Prokka|KIDIHNBK_00408;gnl|Prokka|LGNBBEFE_02324;gnl|Prokka|LKCJGGKA_01499;gnl|Prokka|MKNIKEAA_02921;gnl|Prokka|NGKABENH_02005;gnl|Prokka|NKEMDPIE_02554;gnl|Prokka|PJBPACPC_03940;gnl|Prokka|PLJPCPFJ_00673,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
K03771,peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8],gnl|Prokka|AKEAHCKB_00840;gnl|Prokka|APDOGEMG_03724;gnl|Prokka|BNGDJCLN_00414;gnl|Prokka|COAKLHLB_03208;gnl|Prokka|HCDLLMMA_04172;gnl|Prokka|HIPMDEKK_01641;gnl|Prokka|IAHBEFHN_03215;gnl|Prokka|ICHPHMKM_02644;gnl|Prokka|JCIDEFIG_02039;gnl|Prokka|JDDPIIHO_00195;gnl|Prokka|KAGGKOGE_00627;gnl|Prokka|KIDIHNBK_00464;gnl|Prokka|LGNBBEFE_01472;gnl|Prokka|LKCJGGKA_01600;gnl|Prokka|MKNIKEAA_02867;gnl|Prokka|NGKABENH_02060;gnl|Prokka|NKEMDPIE_01857;gnl|Prokka|PJBPACPC_03995;gnl|Prokka|PLJPCPFJ_00728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K04029,ethanolamine utilization protein EutP,gnl|Prokka|AKEAHCKB_03210;gnl|Prokka|APDOGEMG_02397;gnl|Prokka|APDOGEMG_04309;gnl|Prokka|BNGDJCLN_00223;gnl|Prokka|COAKLHLB_00814;gnl|Prokka|HCDLLMMA_00303;gnl|Prokka|HIPMDEKK_01591;gnl|Prokka|IAHBEFHN_00994;gnl|Prokka|ICHPHMKM_01687;gnl|Prokka|JCIDEFIG_00923;gnl|Prokka|KAGGKOGE_00023;gnl|Prokka|KAGGKOGE_01308;gnl|Prokka|KIDIHNBK_02287;gnl|Prokka|LGNBBEFE_03480;gnl|Prokka|LKCJGGKA_01828;gnl|Prokka|MKNIKEAA_01205;gnl|Prokka|MKNIKEAA_02071;gnl|Prokka|NGKABENH_00675;gnl|Prokka|NKEMDPIE_00886;gnl|Prokka|PJBPACPC_01751;gnl|Prokka|PJBPACPC_02161;gnl|Prokka|PLJPCPFJ_01387,1,1,2,2,1,0,1,2,1,2,1,1,1,1,1,1,1,1,1
K03459,formate transporter,gnl|Prokka|AKEAHCKB_03375;gnl|Prokka|APDOGEMG_02435;gnl|Prokka|BNGDJCLN_00186;gnl|Prokka|COAKLHLB_00850;gnl|Prokka|HCDLLMMA_00268;gnl|Prokka|HIPMDEKK_01067;gnl|Prokka|ICHPHMKM_01724;gnl|Prokka|JCIDEFIG_00956;gnl|Prokka|LGNBBEFE_03611;gnl|Prokka|LKCJGGKA_01860;gnl|Prokka|PLJPCPFJ_01420,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
